merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_clean,mcc_clean,business_type_clean,merchant_category_clean,onboarding_date_clean,missing_onboarding_date_flag,invalid_onboarding_date_flag,settlement_account_clean,missing_settlement_account_flag,masked_settlement_account_flag,declared_avg_ticket_clean,missing_avg_ticket_flag,negative_avg_ticket_flag,merchant_id_core,merchant_category_conflict_flag,merchant_business_type_conflict_flag,merchant_status_conflict_flag,merchant_conflict_score,merchant_record_count
3319,"Jani, Tailor and Radhakrishnan",5699,Apparel,SOLE_PROPRIETOR,Jalandar,Punjab,26/08/2024 05:30 AM,IUQF4655993827398,A,-516.88,3319,5699,Sole Proprietor,Clothing,2024-08-26 05:30:00,0,0,IUQF4655993827398,0,0,-516.88,0,1,3319,0,0,0,0,1
MCH3321,Barad-Trivedi,,transprt,Sole Proprietor,amritsar,Punjab,19/09/2025 04:50 AM,,A,"2,096.60",MCH3321,,Sole Proprietor,Unknown,2025-09-19 04:50:00,0,0,,1,0,2096.6,0,0,3321,0,0,0,0,1
mch3323,Dey PLC,4814,Telecom,SOLE-PROPRIETOR,JPR,Rajasthan,2024-12-24 05:37:48,XXXX2284,I,559.08,MCH3323,4814,Sole Proprietor,Telecom,2024-12-24 05:37:48,0,0,XXXX2284,0,1,559.08,0,0,3323,0,0,0,0,1
MCH3324,Char-Gera,5699.0,garments,PARTNERSHIP,pune,Maharashtra,2026/02/20,DLMI3626046968894,SUSPENDED,2076.73,MCH3324,5699,Partnership,Clothing,2026-02-20 00:00:00,0,0,DLMI3626046968894,0,0,2076.73,0,0,3324,1,1,1,3,3
MCH3325,Varty-Vig,5912,pharmacy,PARTNERSHIP,kolkata,West Bengal,2023/10/29,XXXX1753,Suspended,"Rs. 4,212",MCH3325,5912,Partnership,Pharmacy & Medical,2023-10-29 00:00:00,0,0,XXXX1753,0,1,4212.0,0,0,3325,0,0,1,1,2
MCH3327,Balay Ltd,5912,Medical,PARTNERSHIP,ASR,Punjab,10/06/2024,4132109142,Enabled,799.92,MCH3327,5912,Partnership,Pharmacy & Medical,2024-06-10 00:00:00,0,0,4132109142,0,0,799.92,0,0,3327,0,0,0,0,1
MCH3328,Singh-Comar,5912,MEDICAL_STORE,sole_proprietor,pune,Maharashtra,12-14-2025,XXXX6840,Active,-3993.96,MCH3328,5912,Sole Proprietor,Pharmacy & Medical,2025-12-14 00:00:00,0,0,XXXX6840,0,1,-3993.96,0,1,3328,1,1,1,3,4
MCH3330,"Keer, Gupta and Som",5311,Department Stores,private_limited,Jalandhar,Punjab,26-Nov-2025,LOCM5644673929837,Enabled,3134.69,MCH3330,5311,Private Limited,Department Stores,2025-11-26 00:00:00,0,0,LOCM5644673929837,0,0,3134.69,0,0,3330,0,0,0,0,1
MCH3331,"Shukla, Kadakia and Kata",MCC-5699,garments,private_limited,Ludhiana,Punjab,2025/03/18,,Enabled,1008.43,MCH3331,5699,Private Limited,Clothing,2025-03-18 00:00:00,0,0,,1,0,1008.43,0,0,3331,0,0,0,0,1
MCH3333,Dada PLC,5999,Miscellaneous,PRIVATE_LIMITED,Mumbai,Maharashtra,18/03/2024,,Active,Rs. 668,MCH3333,5999,Private Limited,Other Retail,2024-03-18 00:00:00,0,0,,1,0,668.0,0,0,3333,0,0,0,0,1
MCH3334,Majumdar-Raja,4814,Mobile Recharge,private_limited,Hyd,Telangana,02/09/2023 04:50 AM,7204878806,A,2941.2,MCH3334,4814,Private Limited,Telecom,2023-09-02 04:50:00,0,0,7204878806,0,0,2941.2,0,0,3334,0,0,0,0,1
MCH3335,Choudhary Ltd,5699,Apparel,PARTNERSHIP,Lucknow,Uttar Pradesh,11/08/2025,,Live,413.6,MCH3335,5699,Partnership,Clothing,2025-08-11 00:00:00,0,0,,1,0,413.6,0,0,3335,0,0,0,0,1
mch3338,"Mistry, Majumdar and Ghosh",04814,Mobile Recharge,INDIVIDUAL,Ludhiana,Punjab,2024-04-26 08:50:51,KYYU5062619258958,Active,"Rs. 1,989",MCH3338,4814,Individual,Telecom,2024-04-26 08:50:51,0,0,KYYU5062619258958,0,0,1989.0,0,0,3338,0,0,0,0,1
MCH 3340,Bhargava LLC,5699,CLOTHS,sole_proprietor,Kolkata,West Bengal,2025-10-12 02:52:58,,Hold,-4266.92,MCH3340,5699,Sole Proprietor,Clothing,2025-10-12 02:52:58,0,0,,1,0,-4266.92,0,1,3340,1,1,1,3,2
MCH3341,Ramesh Inc,5912,Pharmacy,individual,Mumbay,Maharashtra,15/11/2024 02:33 AM,,A,1745.15,MCH3341,5912,Individual,Pharmacy & Medical,2024-11-15 02:33:00,0,0,,1,0,1745.15,0,0,3341,0,0,0,0,1
MCH 3348,"Chauhan, Chowdhury and Dhillon",5942,Stationery,INDIVIDUAL,Amritsar,Punjab,16-Dec-2023,MCSB8481417353125,Active,-3038.21,MCH3348,5942,Individual,Books & Stationery,2023-12-16 00:00:00,0,0,MCSB8481417353125,0,0,-3038.21,0,1,3348,0,0,0,0,1
MCH3351,"Loke, Narasimhan and Gandhi",5912,chemist,PARTNERSHIP,ASR,Punjab,2023/06/22,,Suspended,"₹1,029.99",MCH3351,5912,Partnership,Pharmacy & Medical,2023-06-22 00:00:00,0,0,,1,0,1029.99,0,0,3351,0,0,0,0,1
MCH3353,sachar ltd,5942,Book Store,private_limited,jalandhar,Punjab,2023/06/06,,I,Rs. 446,MCH3353,5942,Private Limited,Books & Stationery,2023-06-06 00:00:00,0,0,,1,0,446.0,0,0,3353,1,1,1,3,2
MCH3354,"Barad, Ahluwalia and Mahal",5942,BOOKS_STATIONERY,partnership,lucknow,Uttar Pradesh,1770369825,XXXX7924,A,906.14,MCH3354,5942,Partnership,Books & Stationery,2026-02-06 09:23:45,0,0,XXXX7924,0,1,906.14,0,0,3354,0,0,0,0,1
MCH3357,"Sundaram, Kara and Sibal",7011,Hospitality,partnership,ASR,Punjab,2025-11-14 12:11:27,XVJC4162540658234,Enabled,246.81,MCH3357,7011,Partnership,Hotels & Hospitality,2025-11-14 12:11:27,0,0,XVJC4162540658234,0,1,246.81,0,0,3357,1,0,1,2,2
3358,Suri-Dhillon,4131,TRAVEL,INDIVIDUAL,Kolkata,West Bengal,22-Sep-2023,3713072949,INACTIVE,665.29,3358,4131,Individual,Transportation,2023-09-22 00:00:00,0,0,3713072949,0,0,665.29,0,0,3358,0,0,0,0,1
mch3361,Sabharwal-Shah,misc,transprt,Partnership,Jalandhar,Punjab,2024/01/06,KQNB2621280715561,Closed,887.23,MCH3361,,Partnership,Unknown,2024-01-06 00:00:00,0,0,KQNB2621280715561,0,0,887.23,0,0,3361,0,0,0,0,1
MCH-3362,Chander-Sangha,5411.0,groceries,Private Limited,ASR,Punjab,26/02/2026 04:43 AM,,Suspended,12795.59,MCH3362,5411,Private Limited,Grocery,2026-02-26 04:43:00,0,0,,1,0,12795.59,0,0,3362,0,0,0,0,1
MCH 3369,Hans LLC,5942,Stationery,SOLE-PROPRIETOR,Mumbay,Maharashtra,,YCNF1081951553349,Live,"INR 3,188.62",MCH3369,5942,Sole Proprietor,Books & Stationery,,1,0,YCNF1081951553349,0,0,3188.62,0,0,3369,1,1,1,3,2
MCH3371,Raju Inc,4131.0,Transport,PARTNERSHIP,HYDERABAD,Telangana,19/04/2025 05:25 AM,ENEX5677212292143,Live,4057.11,MCH3371,4131,Partnership,Transportation,2025-04-19 05:25:00,0,0,ENEX5677212292143,0,1,4057.11,0,0,3371,1,1,1,3,3
MCH3376,Sama-Gaba,5411,kirana,individual,Hyderabad,Telangana,,XXXX4890,Active,₹732.24,MCH3376,5411,Individual,Grocery,,1,0,XXXX4890,0,1,732.24,0,0,3376,0,0,0,0,1
MCH3379,Sura Inc,5411,Grocery Stores,sole_proprietor,Madras,Tamil Nadu,28-Nov-2023,,A,851.53,MCH3379,5411,Sole Proprietor,Grocery,2023-11-28 00:00:00,0,0,,1,0,851.53,0,0,3379,0,0,0,0,1
MCH3382,Walla-Rau,5311,DEPT_STORE,INDIVIDUAL,Bombay,Maharashtra,,,Hold,2452.74,MCH3382,5311,Individual,Department Stores,,1,0,,1,0,2452.74,0,0,3382,1,1,1,3,2
MCH3383,  Muni Inc  ,5999,Other,SOLE_PROPRIETOR,delhi,Delhi,21/04/2023 10:36 PM,XXXX2845,A,"5,804.60",MCH3383,5999,Sole Proprietor,Other Retail,2023-04-21 22:36:00,0,0,XXXX2845,0,1,5804.6,0,0,3383,0,0,0,0,1
mch3384,BALA-DHALIWAL,5942,Book Store,INDIVIDUAL,Mumbai,Maharashtra,,,Active,635.55,MCH3384,5942,Individual,Books & Stationery,,1,0,,1,0,635.55,0,0,3384,1,1,1,3,2
MCH3386,"balay, chacko and dani",5311,Department Stores,private_limited,Jaipur,Rajasthan,2025-10-27 15:17:05,XXXX2339,ACTIVE,"₹2,775.53",MCH3386,5311,Private Limited,Department Stores,2025-10-27 15:17:05,0,0,XXXX2339,0,1,2775.53,0,0,3386,0,1,1,2,2
MCH 3387,Boase Ltd,04814,Mobile Recharge,Sole Proprietor,Chennai,Tamil Nadu,20/10/2024,,A,4926.8,MCH3387,4814,Sole Proprietor,Telecom,2024-10-20 00:00:00,0,0,,1,0,4926.8,0,0,3387,0,0,0,0,1
MCH-3388,"Chaudhary, Patel and Bhatti",7011,Hotel,partnership,Dilli,Delhi,2026-02-10 03:56:14,,Inactive,2198.14,MCH3388,7011,Partnership,Hotels & Hospitality,2026-02-10 03:56:14,0,0,,1,0,2198.14,0,0,3388,1,1,1,3,3
mch3389,"Barad, Murthy and Muni",misc,chemist,INDIVIDUAL,Amritsar,Punjab,2025/03/19,,Enabled,₹234.09,MCH3389,,Individual,Unknown,2025-03-19 00:00:00,0,0,,1,0,234.09,0,0,3389,0,0,1,1,2
MCH3391,Dass Inc,4131,transprt,PARTNERSHIP,Lucknow,Uttar Pradesh,,XXXX1148,A,"Rs. 1,298",MCH3391,4131,Partnership,Transportation,,1,0,XXXX1148,0,1,1298.0,0,0,3391,0,0,0,0,1
MCH3393,"PANCHAL, MISTRY AND SAWHNEY",,Grocery,SOLE-PROPRIETOR,Amritsar,Punjab,,,ACTIVE,Rs. 612,MCH3393,,Sole Proprietor,Unknown,,1,0,,1,0,612.0,0,0,3393,0,0,0,0,1
MCH-3395,Merchant-Johal,4131,Bus/Taxi,individual,lucknow,Uttar Pradesh,,MDBK0638673035972,Active,"₹2,176.33",MCH3395,4131,Individual,Transportation,,1,0,MDBK0638673035972,0,0,2176.33,0,0,3395,1,1,1,3,2
MCH3398,Chaudhary Ltd,5699,Apparel,SOLE_PROPRIETOR,Chennai,Tamil Nadu,1700296303,5865246306,Disabled,"₹1,864.25",MCH3398,5699,Sole Proprietor,Clothing,2023-11-18 08:31:43,0,0,5865246306,0,0,1864.25,0,0,3398,0,0,0,0,1
MCH3399,MUNI AND SONS,5699.0,garments,Private Limited,amritsar,Punjab,04/07/2024,2117257070,ACTIVE,-3737.76,MCH3399,5699,Private Limited,Clothing,2024-07-04 00:00:00,0,0,2117257070,0,0,-3737.76,0,1,3399,1,0,0,1,2
MCH3401,chana llc,5411,Grocery Stores,INDIVIDUAL,Chennai,Tamil Nadu,,XXXX4048,ACTIVE,3703.23,MCH3401,5411,Individual,Grocery,,1,0,XXXX4048,0,1,3703.23,0,0,3401,0,0,0,0,1
3402,"Lala, Loyal and Trivedi",5999,Miscellaneous,PARTNERSHIP,Poona,Maharashtra,14/12/2025,4812392751,Closed,1152.61,3402,5999,Partnership,Other Retail,2025-12-14 00:00:00,0,0,4812392751,0,0,1152.61,0,0,3402,0,0,0,0,1
3404,"parekh, lad and soman",MCC-5311,DEPT_STORE,Individual,Mumbai,Maharashtra,2023/02/16,PSMJ2500672647390,ACTIVE,-1405.46,3404,5311,Individual,Department Stores,2023-02-16 00:00:00,0,0,PSMJ2500672647390,0,0,-1405.46,0,1,3404,0,0,0,0,1
MCH3405,"DARA, BOASE AND CHADA",5999.0,Misc Retail,Partnership,pune,Maharashtra,06/03/2024,XXXX5690,ACTIVE,210.2,MCH3405,5999,Partnership,Other Retail,2024-03-06 00:00:00,0,0,XXXX5690,0,1,210.2,0,0,3405,0,0,0,0,1
MCH3406,"Swamy, Borah and Sampath",5311,Retail,Individual,MUMBAI,Maharashtra,2024-05-22 03:05:47,XXXX9630,Inactive,438.79,MCH3406,5311,Individual,Department Stores,2024-05-22 03:05:47,0,0,XXXX9630,0,1,438.79,0,0,3406,0,0,0,0,1
MCH3407,Lal LLC,UNKNOWN,Other,private_limited,Jalandar,Punjab,2023/09/27,XXXX9006,ACTIVE,3232.78,MCH3407,,Private Limited,Unknown,2023-09-27 00:00:00,0,0,XXXX9006,0,1,3232.78,0,0,3407,0,0,0,0,1
MCH-3409,BADAMI AND SONS,7011,Hotel,SOLE_PROPRIETOR,bengaluru,Karnataka,2024/05/31,,Enabled,"₹1,179.18",MCH3409,7011,Sole Proprietor,Hotels & Hospitality,2024-05-31 00:00:00,0,0,,1,0,1179.18,0,0,3409,0,0,0,0,1
MCH3410,Mutti PLC,MCC-7011,Hotel,SOLE_PROPRIETOR,chennai,Tamil Nadu,2023/05/23,5994810528,A,4042.64,MCH3410,7011,Sole Proprietor,Hotels & Hospitality,2023-05-23 00:00:00,0,0,5994810528,0,0,4042.64,0,0,3410,0,0,0,0,1
MCH3412,Tak and Sons,7011.0,HOTEL_LODGING,sole_proprietor,JPR,Rajasthan,31/10/2024,XXXX3873,Enabled,"INR 4,884.39",MCH3412,7011,Sole Proprietor,Hotels & Hospitality,2024-10-31 00:00:00,0,0,XXXX3873,0,1,4884.39,0,0,3412,0,0,0,0,1
MCH3414,Sahota Ltd,4814,Telecom,PRIVATE-LIMITED,Amritsar,Punjab,29/12/2025,4026065439,ACTIVE,"₹1,607.54",MCH3414,4814,Private Limited,Telecom,2025-12-29 00:00:00,0,0,4026065439,0,0,1607.54,0,0,3414,0,0,0,0,1
MCH3415,Keer Inc,5812,Restaurant,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2025-06-05 05:53:37,XXXX8129,ACTIVE,-184.25,MCH3415,5812,Sole Proprietor,Food & Restaurants,2025-06-05 05:53:37,0,0,XXXX8129,0,1,-184.25,0,1,3415,0,0,0,0,1
MCH3416,"Rau, Baral and Karan",4814.0,phone service,PRIVATE_LIMITED,Ludhiana,Punjab,2024/02/02,,Live,Rs. 894,MCH3416,4814,Private Limited,Telecom,2024-02-02 00:00:00,0,0,,1,0,894.0,0,0,3416,0,0,0,0,1
MCH 3418,Parsa-Parikh,5912,chemist,PARTNERSHIP,Hyderabad,Telangana,07-15-2024,CWGO5653761986608,Enabled,8725.31,MCH3418,5912,Partnership,Pharmacy & Medical,2024-07-15 00:00:00,0,0,CWGO5653761986608,0,0,8725.31,0,0,3418,0,0,0,0,1
MCH3419,"bansal, naidu and baria",5912,Pharmacies,Private Limited,pune,Maharashtra,26-Mar-2024,,Enabled,357.64,MCH3419,5912,Private Limited,Pharmacy & Medical,2024-03-26 00:00:00,0,0,,1,0,357.64,0,0,3419,0,0,0,0,1
mch3420,"Mani, Kota and Deol",4131,TRAVEL,Individual,JPR,Rajasthan,18/01/2024 11:43 AM,,Inactive,453.43,MCH3420,4131,Individual,Transportation,2024-01-18 11:43:00,0,0,,1,0,453.43,0,0,3420,0,0,0,0,1
MCH3421,"Sandhu, Saxena and Talwar",5942,Stationery,Sole Proprietor,Delhi,Delhi,,XXXX6543,Suspended,"1,117.58",MCH3421,5942,Sole Proprietor,Books & Stationery,,1,0,XXXX6543,0,1,1117.58,0,0,3421,0,0,0,0,1
mch3423,Sant-Singh,07011,HOTEL_LODGING,partnership,Delhi,Delhi,2023-01-01 09:47:09,9051549967,Live,"11,283.23",MCH3423,7011,Partnership,Hotels & Hospitality,2023-01-01 09:47:09,0,0,9051549967,0,0,11283.23,0,0,3423,0,0,0,0,1
MCH3424,Tandon-Raja,5411,Grocery Stores,PRIVATE-LIMITED,Pune,Maharashtra,08-09-2023,LJDU7390595746498,Closed,"INR 1,643.97",MCH3424,5411,Private Limited,Grocery,2023-08-09 00:00:00,0,0,LJDU7390595746498,0,0,1643.97,0,0,3424,0,0,0,0,1
MCH3426,"Morar, Dar and Raja",5311,DEPT_STORE,INDIVIDUAL,Jalandar,Punjab,25/10/2023,XXXX0393,I,"Rs. 1,252",MCH3426,5311,Individual,Department Stores,2023-10-25 00:00:00,0,0,XXXX0393,0,1,1252.0,0,0,3426,0,0,0,0,1
mch3431,Ghosh and Sons,,eating place,Sole Proprietor,MUMBAI,Maharashtra,11-24-2025,LTDQ5015892785519,Suspended,"₹1,904.92",MCH3431,,Sole Proprietor,Unknown,2025-11-24 00:00:00,0,0,LTDQ5015892785519,0,0,1904.92,0,0,3431,0,0,0,0,1
MCH3433,"  Pathak, Sathe and Rama  ",5411,GROCERY_STORE,PRIVATE-LIMITED,kolkata,West Bengal,2025/12/22,XXXX0746,I,"Rs. 3,697",MCH3433,5411,Private Limited,Grocery,2025-12-22 00:00:00,0,0,XXXX0746,0,1,3697.0,0,0,3433,0,0,0,0,1
MCH3435,"MITTER, CHAKRABARTI AND SWAMINATHAN",5812,Food,individual,ludhiana,Punjab,23-Apr-2023,XXXX3745,Enabled,"INR 1,050.63",MCH3435,5812,Individual,Food & Restaurants,2023-04-23 00:00:00,0,0,XXXX3745,0,1,1050.63,0,0,3435,0,0,0,0,1
MCH3438,Kapur-Mangat,4131,Transport,partnership,HYDERABAD,Telangana,,XXXX6916,Live,"INR 1,153.19",MCH3438,4131,Partnership,Transportation,,1,0,XXXX6916,0,1,1153.19,0,0,3438,1,1,1,3,3
MCH3439,"Grewal, Kar and Krishnan",4814,phone service,Partnership,LDH,Punjab,2025/08/08,,I,Rs. 761,MCH3439,4814,Partnership,Telecom,2025-08-08 00:00:00,0,0,,1,0,761.0,0,0,3439,1,1,1,3,2
MCH-3440,"  Sahni, Thakur and Kale  ",5411,GROCERY_STORE,partnership,Hyderabad,Telangana,14/10/2024 11:53 AM,SWXL8005196412661,Enabled,Rs. 797,MCH3440,5411,Partnership,Grocery,2024-10-14 11:53:00,0,0,SWXL8005196412661,0,1,797.0,0,0,3440,0,0,0,0,1
MCH3441,"Naidu, Nayar and Chand",05942,Books,partnership,LDH,Punjab,29/05/2023,1623488849,Live,Rs. 817,MCH3441,5942,Partnership,Books & Stationery,2023-05-29 00:00:00,0,0,1623488849,0,0,817.0,0,0,3441,0,0,0,0,1
MCH3442,Choudhry-Ravi,05699,Clothing,partnership,Bombay,Maharashtra,2025/09/09,XXXX0565,A,"Rs. 3,189",MCH3442,5699,Partnership,Clothing,2025-09-09 00:00:00,0,0,XXXX0565,0,1,3189.0,0,0,3442,1,1,1,3,4
MCH3445,"Madan, Naidu and Andra",7011,Hotels,Private Limited,jaipur,Rajasthan,09-Jul-2023,2270103966,Enabled,983.3,MCH3445,7011,Private Limited,Hotels & Hospitality,2023-07-09 00:00:00,0,0,2270103966,0,0,983.3,0,0,3445,0,0,0,0,1
mch3446,Ganesan-Contractor,5411.0,GROCERY_STORE,SOLE-PROPRIETOR,Lucknow,Uttar Pradesh,2026-01-24 03:27:14,7922786735,INACTIVE,INR 348.14,MCH3446,5411,Sole Proprietor,Grocery,2026-01-24 03:27:14,0,0,7922786735,0,0,348.14,0,0,3446,0,0,0,0,1
MCH3447,ANDRA-EDWIN,5699,Fashion,INDIVIDUAL,Hyd,Telangana,2023-10-09 13:58:47,XXXX8236,Live,1619.69,MCH3447,5699,Individual,Clothing,2023-10-09 13:58:47,0,0,XXXX8236,0,1,1619.69,0,0,3447,0,0,0,0,1
MCH3449,NIGAM-AGATE,05999,Miscellaneous,partnership,Bombay,Maharashtra,1770954212,UOSM0726239882457,Enabled,236.02,MCH3449,5999,Partnership,Other Retail,2026-02-13 03:43:32,0,0,UOSM0726239882457,0,0,236.02,0,0,3449,0,1,1,2,2
MCH3451,AMBLE-NAIR,5912,Pharmacy,SOLE-PROPRIETOR,Amritsar,Punjab,10-06-2025,XXXX8569,SUSPENDED,,MCH3451,5912,Sole Proprietor,Pharmacy & Medical,2025-10-06 00:00:00,0,0,XXXX8569,0,1,,1,0,3451,0,0,0,0,1
mch3452,"Tandon, Oza and Sharma",5411,Grocery Stores,SOLE-PROPRIETOR,Poona,Maharashtra,04-08-2025,,Closed,-186.45,MCH3452,5411,Sole Proprietor,Grocery,2025-04-08 00:00:00,0,0,,1,0,-186.45,0,1,3452,0,0,0,0,1
MCH3453,"Sangha, Minhas and Patil",7011,Hospitality,PRIVATE_LIMITED,jaipur,Rajasthan,15-Nov-2023,5047749653,A,-1768.03,MCH3453,7011,Private Limited,Hotels & Hospitality,2023-11-15 00:00:00,0,0,5047749653,0,0,-1768.03,0,1,3453,0,0,0,0,1
MCH 3454,Rajagopal-Wason,5812,Restaurant,partnership,Hyderabad,Telangana,22/08/2024 03:32 PM,XXXX7731,ACTIVE,-1479.06,MCH3454,5812,Partnership,Food & Restaurants,2024-08-22 15:32:00,0,0,XXXX7731,0,1,-1479.06,0,1,3454,0,0,0,0,1
MCH 3455,Singhal LLC,05311,Department Store,INDIVIDUAL,Jalandar,Punjab,06/01/2026 05:10 AM,,Active,11222.95,MCH3455,5311,Individual,Department Stores,2026-01-06 05:10:00,0,0,,1,0,11222.95,0,0,3455,0,0,0,0,1
MCH3459,  Nagi-Saini  ,4814,TELECOM,sole_proprietor,HYDERABAD,Telangana,2023/09/03,CIPH7138178222112,Enabled,2617.26,MCH3459,4814,Sole Proprietor,Telecom,2023-09-03 00:00:00,0,0,CIPH7138178222112,0,0,2617.26,0,0,3459,0,0,0,0,1
MCH3460,CHAND-BORA,5411,Grocery Stores,INDIVIDUAL,Calcutta,West Bengal,2025-02-05 10:51:56,,A,,MCH3460,5411,Individual,Grocery,2025-02-05 10:51:56,0,0,,1,0,,1,0,3460,0,0,0,0,1
MCH 3461,"  Balakrishnan, Sachdeva and Sekhon  ",MCC-5999,Miscellaneous,individual,Mumbai,Maharashtra,2025-09-23 02:42:23,QTCR6301966166012,A,1049.37,MCH3461,5999,Individual,Other Retail,2025-09-23 02:42:23,0,0,QTCR6301966166012,0,0,1049.37,0,0,3461,0,0,0,0,1
MCH3465,"Patla, Tiwari and Bobal",4814,Mobile Recharge,PRIVATE-LIMITED,amritsar,Punjab,10/09/2024 10:44 PM,BMXM3313589371926,ACTIVE,Rs. 662,MCH3465,4814,Private Limited,Telecom,2024-09-10 22:44:00,0,0,BMXM3313589371926,0,1,662.0,0,0,3465,0,0,0,0,1
mch3468,Aurora-Ben,,Hospitality,private_limited,Hyd,Telangana,16-Mar-2025,,Enabled,Rs. 199,MCH3468,,Private Limited,Unknown,2025-03-16 00:00:00,0,0,,1,0,199.0,0,0,3468,0,0,0,0,1
mch3469,Ha1der-Bains,,Telecom,Private Limited,Ludhiana,Punjab,,AHBB0158183764134,ACTIVE,943.76,MCH3469,,Private Limited,Unknown,,1,0,AHBB0158183764134,0,0,943.76,0,0,3469,0,0,0,0,1
MCH3470,CHOPRA-GARDE,MCC-4814,Telecom,Individual,Bangalore,Karnataka,03-02-2025,,ACTIVE,509.62,MCH3470,4814,Individual,Telecom,2025-03-02 00:00:00,0,0,,1,0,509.62,0,0,3470,0,0,0,0,1
MCH-3473,"Mahal, Butala and Shenoy",4131,TRAVEL,Individual,Amritsar,Punjab,20/11/2025 11:26 PM,9906876351,INACTIVE,456.80,MCH3473,4131,Individual,Transportation,2025-11-20 23:26:00,0,0,9906876351,0,0,456.8,0,0,3473,0,0,0,0,1
MCH3475,"  Wadhwa, Banik and Prakash  ",5812,Restaurant,private_limited,jaipur,Rajasthan,01-16-2025,4792307270,A,335.53,MCH3475,5812,Private Limited,Food & Restaurants,2025-01-16 00:00:00,0,0,4792307270,0,0,335.53,0,0,3475,0,0,0,0,1
MCH3477,"Mangal, Comar and Krish",5311,Department Store,SOLE_PROPRIETOR,mumbai,Maharashtra,2025-03-30 09:40:40,,ACTIVE,"13,897.21",MCH3477,5311,Sole Proprietor,Department Stores,2025-03-30 09:40:40,0,0,,1,0,13897.21,0,0,3477,0,0,0,0,1
MCH3481,"RAJA, BRAR AND NAGAR",,Grocery Stores,PRIVATE_LIMITED,New Delhi,Delhi,03-13-2023,XXXX8620,ACTIVE,"1,791.83",MCH3481,,Private Limited,Unknown,2023-03-13 00:00:00,0,0,XXXX8620,0,1,1791.83,0,0,3481,0,0,0,0,1
MCH3483,"Puri, Sachdeva and Jhaveri",5812,Restaurants,private_limited,jaipur,Rajasthan,15/08/2025,XXXX0583,Closed,"1,128.90",MCH3483,5812,Private Limited,Food & Restaurants,2025-08-15 00:00:00,0,0,XXXX0583,0,1,1128.9,0,0,3483,0,0,0,0,1
MCH3484,Sidhu LLC,5999,Misc Retail,INDIVIDUAL,ludhiana,Punjab,,,A,-876.31,MCH3484,5999,Individual,Other Retail,,1,0,,1,0,-876.31,0,1,3484,0,0,0,0,1
MCH3487,Subramanian Inc,5812.0,Restaurant,individual,Poona,Maharashtra,26/07/2025,,Live,"₹1,612.87",MCH3487,5812,Individual,Food & Restaurants,2025-07-26 00:00:00,0,0,,1,0,1612.87,0,0,3487,1,1,1,3,3
MCH-3488,  Sarna-Ramaswamy  ,5699,Clothing,Private Limited,Kolkata,West Bengal,2025-12-10 17:02:29,XXXX7182,Enabled,"₹1,118.60",MCH3488,5699,Private Limited,Clothing,2025-12-10 17:02:29,0,0,XXXX7182,0,1,1118.6,0,0,3488,0,0,0,0,1
MCH3489,Bahl-Bhavsar,MCC-4131,Transportation,PARTNERSHIP,DELHI,Delhi,,XXXX6898,A,908.03,MCH3489,4131,Partnership,Transportation,,1,0,XXXX6898,0,1,908.03,0,0,3489,0,0,0,0,1
MCH3490,Sachdev-Din,5411,kirana,INDIVIDUAL,DELHI,Delhi,2023/02/21,VNMY8994386086089,Blocked,570.00,MCH3490,5411,Individual,Grocery,2023-02-21 00:00:00,0,0,VNMY8994386086089,0,0,570.0,0,0,3490,0,0,0,0,1
MCH-3491,"  Chawla, Tella and Madan  ",,Mobile Recharge,Sole Proprietor,LKO,Uttar Pradesh,2025/05/23,,Live,1044.7,MCH3491,,Sole Proprietor,Unknown,2025-05-23 00:00:00,0,0,,1,0,1044.7,0,0,3491,0,0,0,0,1
mch3497,"Gokhale, Parmer and Contractor",,Transport,INDIVIDUAL,jalandhar,Punjab,1699047591,,ACTIVE,-403.24,MCH3497,,Individual,Unknown,2023-11-03 21:39:51,0,0,,1,0,-403.24,0,1,3497,0,0,0,0,1
MCH3498,AGATE AND SONS,4814,TELECOM,INDIVIDUAL,chennai,Tamil Nadu,,,Active,1499.04,MCH3498,4814,Individual,Telecom,,1,0,,1,0,1499.04,0,0,3498,0,0,0,0,1
MCH3499,"Mand, Munshi and Bali",5311,Retail,Sole Proprietor,Chennai,Tamil Nadu,2026/02/01,,Enabled,"INR 1,115.88",MCH3499,5311,Sole Proprietor,Department Stores,2026-02-01 00:00:00,0,0,,1,0,1115.88,0,0,3499,1,1,1,3,3
MCH3501,Chandran-Tripathi,5999,Miscellaneous,PRIVATE_LIMITED,MUMBAI,Maharashtra,,1873775978,ACTIVE,"₹1,658.21",MCH3501,5999,Private Limited,Other Retail,,1,0,1873775978,0,0,1658.21,0,0,3501,0,0,0,0,1
MCH-3502,"  Bail, Sawhney and Majumdar  ",,eating place,INDIVIDUAL,Hyd,Telangana,1707151059,,Enabled,4792.39,MCH3502,,Individual,Unknown,2024-02-05 16:37:39,0,0,,1,0,4792.39,0,0,3502,0,0,0,0,1
